Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses, GET Hits,WAIT Requests,WAIT Average Latency
0,248,0.002765,17209,123,0.002465,9824,0,123,0,0.000000
1,224,0.002841,15557,112,0.003217,8946,0,112,0,0.000000
2,215,0.003165,14939,108,0.002923,8614,0,108,0,0.000000
3,169,0.004278,11715,84,0.003219,6698,0,84,0,0.000000
4,209,0.003020,14501,105,0.003468,8392,0,105,0,0.000000
5,185,0.003614,12843,93,0.003580,7430,0,93,0,0.000000
6,212,0.003145,14710,105,0.003148,8374,0,105,0,0.000000
7,224,0.003017,15534,112,0.002854,8930,0,112,0,0.000000
8,207,0.003169,14363,104,0.003238,8290,0,104,0,0.000000
9,187,0.003310,12975,94,0.003961,7496,0,94,0,0.000000
10,230,0.002930,15959,114,0.002849,9096,0,114,0,0.000000
11,246,0.002762,17052,124,0.002595,9886,0,124,0,0.000000
12,196,0.003554,13605,98,0.003033,7824,0,98,0,0.000000
13,228,0.002831,15814,114,0.003072,9088,0,114,0,0.000000
14,156,0.004292,10836,77,0.004141,6144,0,77,0,0.000000
15,179,0.003627,12400,90,0.003846,7188,0,90,0,0.000000
16,199,0.003432,13799,100,0.003172,7984,0,100,0,0.000000
17,232,0.003002,16094,116,0.002574,9256,0,116,0,0.000000
18,191,0.003516,13246,95,0.003422,7582,0,95,0,0.000000
19,189,0.003318,13124,94,0.003967,7486,0,94,0,0.000000
20,198,0.003559,13754,99,0.002936,7898,0,99,0,0.000000
21,196,0.003432,13587,98,0.003310,7822,0,98,0,0.000000
22,192,0.003301,13321,96,0.003632,7672,0,96,0,0.000000
23,167,0.004246,11569,84,0.003473,6706,0,84,0,0.000000
24,182,0.003667,12632,91,0.003568,7254,0,91,0,0.000000
25,210,0.003125,14589,105,0.003313,8364,0,105,0,0.000000
26,224,0.002775,15548,112,0.003373,8942,0,112,0,0.000000
27,216,0.003029,14985,108,0.003142,8616,0,108,0,0.000000
28,196,0.003339,13597,98,0.003519,7822,0,98,0,0.000000
29,258,0.002721,17909,129,0.002257,10284,0,129,0,0.000000
30,215,0.002856,14911,107,0.003560,8544,0,107,0,0.000000
31,187,0.004009,12982,94,0.002657,7504,0,94,0,0.000000
32,201,0.003341,13954,100,0.003198,7978,0,100,0,0.000000
33,219,0.003194,15202,110,0.002723,8762,0,110,0,0.000000
34,259,0.002677,17968,129,0.002367,10276,0,129,0,0.000000
35,272,0.002461,18881,136,0.002368,10848,0,136,0,0.000000
36,280,0.002276,19425,140,0.002530,11180,0,140,0,0.000000
37,296,0.002098,20520,149,0.002548,11880,0,149,0,0.000000
38,262,0.002591,18190,130,0.002447,10374,0,130,0,0.000000
39,268,0.002449,18602,135,0.002494,10760,0,135,0,0.000000
40,274,0.002434,19006,137,0.002400,10938,0,137,0,0.000000
41,226,0.002824,15692,113,0.003195,9024,0,113,0,0.000000
42,268,0.002591,18576,133,0.002257,10624,0,133,0,0.000000
43,262,0.002528,18202,132,0.002529,10516,0,132,0,0.000000
44,273,0.002354,18958,136,0.002600,10862,0,136,0,0.000000
45,259,0.002596,17980,129,0.002506,10286,0,129,0,0.000000
46,276,0.002323,19159,138,0.002560,11008,0,138,0,0.000000
47,281,0.002396,19491,141,0.002286,11240,0,141,0,0.000000
48,274,0.002217,19005,137,0.002812,10928,0,137,0,0.000000
49,262,0.002244,18183,131,0.003142,10442,0,131,0,0.000000
50,1,0.006529,70,0,0.000000,0,0,0,0,0.000000

Full-Test GET Latency
Latency (<= msec),Percent
   0.330,0.11
   0.340,0.80
   0.350,2.04
   0.360,4.17
   0.370,6.51
   0.380,10.11
   0.390,14.75
   0.400,18.83
   0.410,22.06
   0.420,24.84
   0.430,26.67
   0.440,28.32
   0.450,29.88
   0.460,31.44
   0.470,32.79
   0.480,34.07
   0.490,35.38
   0.500,36.44
   0.510,37.19
   0.520,37.75
   0.530,38.39
   0.540,38.80
   0.550,39.28
   0.560,39.94
   0.570,40.17
   0.580,40.43
   0.590,40.73
   0.600,41.09
   0.610,41.48
   0.620,41.71
   0.630,42.03
   0.640,42.28
   0.650,42.51
   0.660,42.74
   0.670,42.92
   0.680,43.06
   0.690,43.29
   0.700,43.43
   0.710,43.61
   0.720,43.84
   0.730,43.94
   0.740,44.10
   0.750,44.25
   0.760,44.41
   0.770,44.60
   0.780,44.85
   0.790,45.13
   0.800,45.27
   0.810,45.40
   0.820,45.56
   0.830,45.61
   0.840,45.74
   0.850,45.79
   0.860,45.89
   0.870,46.04
   0.880,46.09
   0.890,46.25
   0.900,46.39
   0.910,46.48
   0.920,46.60
   0.930,46.73
   0.940,46.82
   0.950,46.89
   0.960,47.07
   0.970,47.19
   0.980,47.26
   0.990,47.33
   1.000,47.86
   1.100,48.77
   1.200,49.49
   1.300,50.15
   1.400,50.90
   1.500,51.60
   1.600,52.60
   1.700,53.54
   1.800,54.42
   1.900,55.74
   2.000,56.78
   2.100,57.92
   2.200,58.73
   2.300,59.60
   2.400,60.70
   2.500,61.61
   2.600,62.49
   2.700,63.17
   2.800,64.07
   2.900,64.87
   3.000,65.38
   3.100,66.25
   3.200,67.23
   3.300,68.13
   3.400,69.09
   3.500,70.03
   3.600,70.81
   3.700,71.75
   3.800,72.65
   3.900,73.75
   4.000,74.57
   4.100,75.63
   4.200,76.57
   4.300,77.27
   4.400,77.83
   4.500,78.35
   4.600,78.91
   4.700,79.45
   4.800,79.66
   4.900,80.17
   5.000,80.71
   5.100,81.13
   5.200,81.31
   5.300,81.70
   5.400,82.30
   5.500,82.67
   5.600,83.06
   5.700,83.49
   5.800,83.72
   5.900,84.02
   6.000,84.55
   6.100,84.98
   6.200,85.26
   6.300,85.56
   6.400,85.95
   6.500,86.15
   6.600,86.49
   6.700,86.74
   6.800,86.98
   6.900,87.37
   7.000,87.66
   7.100,87.91
   7.200,88.15
   7.300,88.42
   7.400,88.79
   7.500,89.13
   7.600,89.47
   7.700,89.89
   7.800,90.18
   7.900,90.57
   8.000,90.81
   8.100,91.24
   8.200,91.51
   8.300,91.77
   8.400,91.98
   8.500,92.30
   8.600,92.45
   8.700,92.57
   8.800,92.68
   8.900,92.82
   9.000,92.87
   9.100,92.98
   9.200,93.07
   9.300,93.14
   9.400,93.21
   9.500,93.39
   9.600,93.56
   9.700,93.67
   9.800,93.81
   9.900,94.01
  10.000,94.73
  11.000,96.01
  12.000,97.22
  13.000,97.73
  14.000,98.26
  15.000,98.71
  16.000,99.08
  17.000,99.17
  18.000,99.33
  19.000,99.47
  20.000,99.56
  21.000,99.70
  22.000,99.75
  23.000,99.79
  24.000,99.82
  25.000,99.86
  26.000,99.88
  27.000,99.89
  28.000,99.95
  29.000,99.96
  30.000,99.98
  40.000,100.00

Full-Test SET Latency
Latency (<= msec),Percent
   0.340,0.34
   0.350,1.37
   0.360,2.82
   0.370,4.63
   0.380,7.17
   0.390,11.39
   0.400,15.55
   0.410,19.03
   0.420,22.26
   0.430,25.00
   0.440,27.00
   0.450,28.70
   0.460,30.35
   0.470,31.86
   0.480,33.10
   0.490,34.25
   0.500,35.47
